candidate_id,rank,score,reasoning
CAND_0098454,1,0.6242808729410172,AI/Backend hybrid tracking 6.6 YOE; Active with 87% response rate.
CAND_0079064,2,0.6025663039684297,AI/Backend hybrid tracking 5.2 YOE; Active with 91% response rate.
CAND_0036437,3,0.5977813804149629,AI/Backend hybrid tracking 4.8 YOE; Active with 87% response rate.
CAND_0053605,4,0.5896560654640198,AI/Backend hybrid tracking 6.9 YOE; Active with 88% response rate.
CAND_0077956,5,0.5888701210021973,AI/Backend hybrid tracking 6.4 YOE; Active with 88% response rate.
CAND_0008295,6,0.583644731283188,AI/Backend hybrid tracking 6.5 YOE; Active with 89% response rate.
CAND_0086154,7,0.582265841960907,AI/Backend hybrid tracking 6.8 YOE; Active with 90% response rate.
CAND_0006567,8,0.5815031719207764,AI/Backend hybrid tracking 7.9 YOE; Active with 79% response rate.
CAND_0043860,9,0.5810883649587631,AI/Backend hybrid tracking 6.1 YOE; Active with 81% response rate.
CAND_0010257,10,0.5732529640197754,AI/Backend hybrid tracking 6.5 YOE; Active with 72% response rate.
CAND_0093763,11,0.5659140791893006,AI/Backend hybrid tracking 5.0 YOE; Active with 92% response rate.
CAND_0014909,12,0.5546606526374817,AI/Backend hybrid tracking 4.8 YOE; Active with 76% response rate.
CAND_0061257,13,0.5541096682548523,AI/Backend hybrid tracking 8.0 YOE; Active with 87% response rate.
CAND_0044883,14,0.5540787830352784,AI/Backend hybrid tracking 6.3 YOE; Active with 84% response rate.
CAND_0057563,15,0.5519659180641174,AI/Backend hybrid tracking 6.8 YOE; Active with 83% response rate.
CAND_0046525,16,0.5511920614242555,AI/Backend hybrid tracking 6.1 YOE; Active with 88% response rate.
CAND_0069905,17,0.5503661012649537,AI/Backend hybrid tracking 6.6 YOE; Active with 78% response rate.
CAND_0090300,18,0.5479503693580626,AI/Backend hybrid tracking 5.3 YOE; Active with 94% response rate.
CAND_0054546,19,0.5453883500099183,AI/Backend hybrid tracking 4.9 YOE; Active with 92% response rate.
CAND_0070514,20,0.5426268982887268,AI/Backend hybrid tracking 5.5 YOE; Active with 80% response rate.
CAND_0028527,21,0.5398066539764405,AI/Backend hybrid tracking 5.4 YOE; Active with 90% response rate.
CAND_0055960,22,0.5366902055740357,AI/Backend hybrid tracking 4.9 YOE; Active with 89% response rate.
CAND_0057209,23,0.5359107177257538,AI/Backend hybrid tracking 6.2 YOE; Active with 79% response rate.
CAND_0094482,24,0.5358623349666596,AI/Backend hybrid tracking 6.4 YOE; Active with 85% response rate.
CAND_0052431,25,0.5334238393306733,AI/Backend hybrid tracking 5.3 YOE; Active with 85% response rate.
CAND_0064969,26,0.5318092803955078,AI/Backend hybrid tracking 6.1 YOE; Active with 80% response rate.
CAND_0062247,27,0.5316863050460816,AI/Backend hybrid tracking 7.3 YOE; Active with 78% response rate.
CAND_0005260,28,0.5302856388092041,AI/Backend hybrid tracking 5.2 YOE; Active with 86% response rate.
CAND_0069643,29,0.5283182518482209,AI/Backend hybrid tracking 7.1 YOE; Active with 81% response rate.
CAND_0052335,30,0.526446224451065,AI/Backend hybrid tracking 6.4 YOE; Active with 79% response rate.
CAND_0043829,31,0.5241681475639344,AI/Backend hybrid tracking 4.8 YOE; Active with 78% response rate.
CAND_0073883,32,0.5239216976165771,AI/Backend hybrid tracking 5.3 YOE; Active with 92% response rate.
CAND_0050454,33,0.5232553482055664,AI/Backend hybrid tracking 6.8 YOE; Active with 77% response rate.
CAND_0092706,34,0.5207860043048859,AI/Backend hybrid tracking 5.8 YOE; Active with 78% response rate.
CAND_0094056,35,0.5179117708206177,AI/Backend hybrid tracking 5.9 YOE; Active with 82% response rate.
CAND_0007412,36,0.5174176688194275,AI/Backend hybrid tracking 7.4 YOE; Active with 76% response rate.
CAND_0012399,37,0.5172083806991576,AI/Backend hybrid tracking 4.6 YOE; Active with 94% response rate.
CAND_0029213,38,0.5170762622356414,AI/Backend hybrid tracking 7.0 YOE; Active with 82% response rate.
CAND_0099806,39,0.5161341404914856,AI/Backend hybrid tracking 4.6 YOE; Active with 76% response rate.
CAND_0033179,40,0.5156249084472656,AI/Backend hybrid tracking 6.9 YOE; Active with 84% response rate.
CAND_0067866,41,0.5127181178331375,AI/Backend hybrid tracking 6.4 YOE; Active with 79% response rate.
CAND_0077337,42,0.5126566603183745,AI/Backend hybrid tracking 7.0 YOE; Active with 95% response rate.
CAND_0081846,43,0.5107265821695328,AI/Backend hybrid tracking 6.7 YOE; Active with 73% response rate.
CAND_0018722,44,0.5090395107269288,AI/Backend hybrid tracking 6.6 YOE; Active with 79% response rate.
CAND_0098846,45,0.5082443375587464,AI/Backend hybrid tracking 7.6 YOE; Active with 62% response rate.
CAND_0075574,46,0.5049791679382324,AI/Backend hybrid tracking 5.7 YOE; Active with 57% response rate.
CAND_0063214,47,0.5039649796485901,AI/Backend hybrid tracking 7.5 YOE; Active with 76% response rate.
CAND_0063862,48,0.5026737499237061,AI/Backend hybrid tracking 5.3 YOE; Active with 82% response rate.
CAND_0068910,49,0.5024227648973465,AI/Backend hybrid tracking 5.7 YOE; Active with 81% response rate.
CAND_0025882,50,0.5019779877662659,AI/Backend hybrid tracking 5.6 YOE; Active with 79% response rate.
CAND_0057736,51,0.5010209751129151,AI/Backend hybrid tracking 6.2 YOE; Active with 92% response rate.
CAND_0020991,52,0.5004281091690064,AI/Backend hybrid tracking 4.9 YOE; Active with 88% response rate.
CAND_0055677,53,0.5001200807094573,AI/Backend hybrid tracking 8.5 YOE; Active with 83% response rate.
CAND_0072688,54,0.4996776568889619,AI/Backend hybrid tracking 6.9 YOE; Active with 87% response rate.
CAND_0074342,55,0.499504487991333,AI/Backend hybrid tracking 5.7 YOE; Active with 76% response rate.
CAND_0039546,56,0.49920003461837775,AI/Backend hybrid tracking 6.9 YOE; Active with 79% response rate.
CAND_0035879,57,0.4974620122909546,AI/Backend hybrid tracking 4.5 YOE; Active with 82% response rate.
CAND_0095973,58,0.49658280634880064,AI/Backend hybrid tracking 7.0 YOE; Active with 83% response rate.
CAND_0015803,59,0.4959308094978333,AI/Backend hybrid tracking 5.3 YOE; Active with 85% response rate.
CAND_0012957,60,0.4950927555561066,AI/Backend hybrid tracking 4.9 YOE; Active with 67% response rate.
CAND_0058764,61,0.49349697589874264,AI/Backend hybrid tracking 7.0 YOE; Active with 82% response rate.
CAND_0041918,62,0.4934193545579911,AI/Backend hybrid tracking 5.7 YOE; Active with 87% response rate.
CAND_0035987,63,0.493416396856308,AI/Backend hybrid tracking 5.8 YOE; Active with 67% response rate.
CAND_0085706,64,0.4919854860305786,AI/Backend hybrid tracking 7.7 YOE; Active with 68% response rate.
CAND_0035842,65,0.49105486392974856,AI/Backend hybrid tracking 7.8 YOE; Active with 80% response rate.
CAND_0065052,66,0.4908763074874878,AI/Backend hybrid tracking 4.6 YOE; Active with 68% response rate.
CAND_0077281,67,0.48898456573486326,AI/Backend hybrid tracking 9.1 YOE; Active with 83% response rate.
CAND_0065917,68,0.48834751129150394,AI/Backend hybrid tracking 7.0 YOE; Active with 74% response rate.
CAND_0043897,69,0.4876051826477051,AI/Backend hybrid tracking 6.9 YOE; Active with 76% response rate.
CAND_0015057,70,0.4875121793746948,AI/Backend hybrid tracking 4.6 YOE; Active with 85% response rate.
CAND_0006071,71,0.48698871374130254,AI/Backend hybrid tracking 7.4 YOE; Active with 78% response rate.
CAND_0068932,72,0.4856385324001312,AI/Backend hybrid tracking 5.2 YOE; Active with 82% response rate.
CAND_0045081,73,0.48551621747016915,AI/Backend hybrid tracking 6.7 YOE; Active with 85% response rate.
CAND_0049703,74,0.4841919267177582,AI/Backend hybrid tracking 6.7 YOE; Active with 77% response rate.
CAND_0097231,75,0.48382623481750486,AI/Backend hybrid tracking 5.3 YOE; Active with 76% response rate.
CAND_0089381,76,0.48343877792358403,AI/Backend hybrid tracking 6.0 YOE; Active with 81% response rate.
CAND_0030468,77,0.48186758112907413,AI/Backend hybrid tracking 5.4 YOE; Active with 78% response rate.
CAND_0097567,78,0.48176559233665467,AI/Backend hybrid tracking 6.3 YOE; Active with 79% response rate.
CAND_0010979,79,0.4803740622997284,AI/Backend hybrid tracking 5.9 YOE; Active with 83% response rate.
CAND_0083852,80,0.47957511544227605,AI/Backend hybrid tracking 6.0 YOE; Active with 85% response rate.
CAND_0005751,81,0.4793773212432862,AI/Backend hybrid tracking 7.0 YOE; Active with 84% response rate.
CAND_0025923,82,0.47882595300674435,AI/Backend hybrid tracking 5.0 YOE; Active with 84% response rate.
CAND_0061738,83,0.47845621204376226,AI/Backend hybrid tracking 5.1 YOE; Active with 85% response rate.
CAND_0031757,84,0.4777179048061371,AI/Backend hybrid tracking 6.3 YOE; Active with 69% response rate.
CAND_0026942,85,0.47622367000579835,AI/Backend hybrid tracking 6.0 YOE; Active with 84% response rate.
CAND_0053537,86,0.4758559379577637,AI/Backend hybrid tracking 8.0 YOE; Active with 74% response rate.
CAND_0047492,87,0.4746884129047394,AI/Backend hybrid tracking 4.8 YOE; Active with 71% response rate.
CAND_0072734,88,0.47443333148956296,AI/Backend hybrid tracking 7.1 YOE; Active with 78% response rate.
CAND_0015137,89,0.4737398035526276,AI/Backend hybrid tracking 4.7 YOE; Active with 81% response rate.
CAND_0018888,90,0.4726071333885193,AI/Backend hybrid tracking 6.5 YOE; Active with 55% response rate.
CAND_0085652,91,0.47218884468078615,AI/Backend hybrid tracking 6.8 YOE; Active with 78% response rate.
CAND_0098124,92,0.472104380607605,AI/Backend hybrid tracking 6.6 YOE; Active with 74% response rate.
CAND_0004708,93,0.4721014144420624,AI/Backend hybrid tracking 6.6 YOE; Active with 69% response rate.
CAND_0072117,94,0.4720066623687744,AI/Backend hybrid tracking 6.6 YOE; Active with 74% response rate.
CAND_0011698,95,0.4706867191791535,AI/Backend hybrid tracking 5.3 YOE; Active with 79% response rate.
CAND_0018013,96,0.46949879837036135,AI/Backend hybrid tracking 6.7 YOE; Active with 78% response rate.
CAND_0082122,97,0.4693374131917954,AI/Backend hybrid tracking 8.8 YOE; Active with 75% response rate.
CAND_0080344,98,0.4685519299507141,AI/Backend hybrid tracking 4.9 YOE; Active with 70% response rate.
CAND_0097248,99,0.4684007710218429,AI/Backend hybrid tracking 7.0 YOE; Active with 83% response rate.
CAND_0076895,100,0.4680083422660828,AI/Backend hybrid tracking 9.3 YOE; Active with 78% response rate.
